,SHIR inductor b16
0,8866327885
1,993202
2,957694
3,968696
4,936907
5,927049
6,931084
7,880917
8,907029
9,918242
10,929135
11,911986
12,913069
13,924260
14,914392
15,892246
16,871806
17,905319
18,891528
19,872149
20,874043
21,867745
22,894213
23,926191
24,906585
25,903792
26,881010
27,931535
28,914946
29,920492
30,897149
31,897573
32,899980
33,944935
34,876755
35,911860
36,897300
37,857165
38,871918
39,866297
40,878660
41,878498
42,887789
43,855554
44,856710
45,870417
46,854333
47,867518
48,868728
49,850938
50,865958
51,839845
52,868845
53,884447
54,885944
55,866471
56,864239
57,860836
58,854819
59,870085
60,856393
61,845165
62,854621
63,863091
64,869416
65,872590
66,839642
67,845325
68,841899
69,849838
70,832102
71,840764
72,838680
73,828681
74,861874
75,819562
76,854647
77,834748
78,829125
79,837417
80,849850
81,800950
82,826569
83,831619
84,830367
85,842735
86,873802
87,881503
88,862026
89,843226
90,877801
91,821318
92,850965
93,870974
94,848466
95,866168
96,830267
97,850760
98,827280
99,833087
100,829276
101,818883
102,799609
103,788365
104,840279
105,815007
106,823906
107,812370
108,790662
109,789950
110,784494
111,777935
112,805714
113,798818
114,799232
115,815775
116,806777
117,811394
118,812670
119,833967
120,822931
121,835800
122,796274
123,809585
124,804270
125,828300
126,810422
127,811401
128,818384
129,813645
130,815163
131,820761
132,814931
133,816896
134,814476
135,816616
136,806894
137,816904
138,809289
139,804741
140,810355
141,838231
142,797866
143,814217
144,800392
145,814107
146,805419
147,829722
148,810169
149,832543
150,824819
151,841738
152,803834
153,830328
154,814693
155,820271
156,815566
157,825614
158,848532
159,822405
160,821183
161,843029
162,827454
163,850174
164,826378
165,809644
166,851689
167,913611
168,908265
169,942275
170,941530
171,926544
172,942403
173,946922
174,926690
175,947081
176,933358
177,870739
178,936805
179,937612
180,909278
181,948249
182,946748
183,939270
184,913444
185,943047
186,934049
187,913724
188,939585
189,948349
190,845611
191,816112
192,825972
193,832550
194,804552
195,815324
196,820065
197,810961
198,825662
199,820892
200,831387
201,828952
202,814376
203,833608
204,814292
205,789128
206,811632
207,825463
208,837728
209,851065
210,829293
211,824233
212,828390
213,841236
214,834652
215,837571
216,813292
217,840298
218,835544
219,846397
220,839917
221,842719
222,799054
223,824657
224,834699
225,858194
226,829326
227,830857
228,814835
229,837414
230,824993
231,838332
232,823994
233,829120
234,894587
235,930592
236,929056
237,932137
238,917454
239,952025
240,902181
241,924480
242,917726
243,959237
244,916608
245,921074
246,907950
247,910336
248,949179
249,922000
250,917571
251,923263
252,917343
253,926789
254,939250
255,928461
256,931819
257,932645
258,831022
259,860811
260,841906
261,849356
262,846682
263,836352
264,851002
265,829296
266,847834
267,828743
268,815398
269,858286
270,825831
271,828572
272,851351
273,823404
274,835582
275,811225
276,823180
277,828407
278,828199
279,845110
280,825227
281,798681
282,833092
283,822497
284,832011
285,804946
286,816487
287,813766
288,799555
289,800049
290,817976
291,813535
292,821209
293,831092
294,839947
295,848356
296,817812
297,819137
298,838826
299,820591
300,820831
301,828590
302,900510
303,927758
304,929595
305,927030
306,929604
307,940040
308,908574
309,927156
310,946469
311,925277
312,932802
313,943830
314,940144
315,937222
316,926558
317,917127
318,909418
319,893761
320,946506
321,938404
322,910068
323,920882
324,913750
325,878645
326,847372
327,810579
328,829572
329,830590
330,837575
331,836389
332,831450
333,829673
334,825825
335,849201
336,835691
337,839344
338,804013
339,824979
340,837086
341,832425
342,828540
343,825071
344,821088
345,847187
346,807760
347,842934
348,830927
349,812707
350,818624
351,831879
352,814551
353,853914
354,806368
355,795145
356,815040
357,827056
358,820710
359,802484
360,815952
361,824142
362,818134
363,835580
364,809019
365,824683
366,826630
367,812562
368,827683
369,828654
370,921854
371,932481
372,918791
373,932887
374,918526
375,942734
376,940989
377,931054
378,927617
379,917707
380,906734
381,921563
382,950727
383,902301
384,929989
385,929732
386,904677
387,941892
388,920395
389,944440
390,931435
391,931666
392,946836
393,891064
394,811777
395,833753
396,822710
397,834367
398,823277
399,823505
400,830030
401,820169
402,815077
403,825100
404,810544
405,818397
406,816672
407,818037
408,816872
409,807584
410,823895
411,810198
412,825543
413,804777
414,821159
415,820213
416,790550
417,821255
418,803383
419,840635
420,821097
421,845653
422,809401
423,831114
424,818230
425,859019
426,808168
427,845895
428,829110
429,838479
430,820455
431,821940
432,837256
433,837846
434,828116
435,838756
436,850423
437,882362
438,938587
439,949885
440,916245
441,968275
442,958937
443,931484
444,908311
445,923938
446,921620
447,930781
448,931607
449,927233
450,926015
451,936507
452,920007
453,937212
454,955708
455,950519
456,923825
457,932015
458,918577
459,943530
460,961499
461,942181
462,831363
463,803986
464,851414
465,825638
466,830544
467,802247
468,823079
469,848035
470,853385
471,844162
472,838721
473,810706
474,821679
475,831491
476,830501
477,846112
478,821181
479,856846
480,815751
481,828783
482,801625
483,828388
484,825700
485,829407
486,831926
487,809338
488,820046
489,835103
490,826096
491,835601
492,818270
493,830907
494,826522
495,833051
496,845706
497,831159
498,801354
499,797652
500,822589
501,845642
502,820578
503,810893
504,819643
505,913351
506,938927
507,935164
508,947206
509,941920
510,948374
511,927709
512,919523
513,940899
514,942356
515,924818
516,934179
517,930910
518,933985
519,948313
520,957220
521,907004
522,947744
523,919653
524,944319
525,962308
526,920999
527,934683
528,871774
529,860413
530,804605
531,832465
532,803557
533,852089
534,785382
535,821745
536,799676
537,838669
538,837182
539,818746
540,832928
541,831003
542,840033
543,821445
544,820981
545,833109
546,817100
547,828836
548,818691
549,806908
550,815275
551,817710
552,802168
553,825805
554,793708
555,815023
556,814313
557,829036
558,818021
559,828829
560,796301
561,818060
562,808342
563,815134
564,793585
565,833382
566,816868
567,848337
568,834413
569,833234
570,825507
571,820050
572,860499
573,946714
574,941617
575,936865
576,940186
577,904268
578,911273
579,950725
580,937260
581,894019
582,906136
583,928463
584,915906
585,927453
586,925182
587,941164
588,886304
589,888484
590,922335
591,917866
592,892433
593,906720
594,940939
595,920698
596,860572
597,847044
598,818672
599,820030
600,837539
601,818300
602,823553
603,845287
604,832783
605,832765
606,837537
607,802145
608,812853
609,840567
610,786065
611,824634
612,831767
613,819309
614,820799
615,817450
616,821880
617,808900
618,807690
619,816652
620,814920
621,817236
622,805884
623,837554
624,809735
625,831997
626,810639
627,814209
628,805984
629,802377
630,827030
631,813784
632,818313
633,816980
634,793628
635,801633
636,803258
637,817797
638,809985
639,789957
640,811396
641,891312
642,904692
643,928380
644,916176
645,926725
646,930751
647,930901
648,940075
649,917980
650,904633
651,926933
652,902092
653,883042
654,920252
655,953637
656,900465
657,896401
658,913235
659,908129
660,919844
661,917701
662,890230
663,937370
664,798823
665,821340
666,814074
667,817032
668,814190
669,832325
670,790365
671,838180
672,815109
673,819973
674,806205
675,823430
676,817446
677,825503
678,808117
679,823373
680,815843
681,837553
682,791603
683,820617
684,806492
685,825421
686,811893
687,845708
688,828907
689,834985
690,817365
691,826101
692,810731
693,842669
694,814817
695,839715
696,844234
697,821679
698,816222
699,816721
700,826125
701,818878
702,818245
703,822947
704,846822
705,835179
706,810025
707,835834
708,814929
709,895281
710,925824
711,951617
712,939293
713,953794
714,919066
715,928870
716,926750
717,943269
718,944413
719,968521
720,962159
721,932240
722,951888
723,939844
724,942880
725,901048
726,919881
727,932467
728,939017
729,971444
730,954432
731,965036
732,897772
733,831309
734,851575
735,836438
736,810693
737,828042
738,823896
739,827696
740,822013
741,820010
742,796010
743,838356
744,843355
745,837937
746,813310
747,839941
748,837925
749,814232
750,827869
751,829147
752,821879
753,838562
754,807569
755,833138
756,815562
757,818507
758,816496
759,823667
760,829785
761,854825
762,813550
763,836721
764,833283
765,824857
766,854394
767,818758
768,838685
769,842717
770,818437
771,821257
772,806019
773,828074
774,816582
775,830396
776,818925
777,897021
778,918667
779,924209
780,947565
781,947116
782,958185
783,937315
784,906995
785,937314
786,941621
787,931152
788,944535
789,961247
790,953734
791,949457
792,918465
793,962373
794,959985
795,942849
796,922859
797,946750
798,956602
799,851936
800,831258
801,819455
802,826172
803,815690
804,836319
805,831250
806,831900
807,818263
808,819831
809,824667
810,838721
811,825382
812,830678
813,829480
814,838502
815,793745
816,802802
817,816598
818,837125
819,825061
820,785739
821,841858
822,829538
823,827211
824,827798
825,817667
826,828103
827,829311
828,824309
829,821110
830,841407
831,816865
832,837586
833,838372
834,802928
835,835577
836,817996
837,826715
838,804570
839,850217
840,821529
841,827676
842,812480
843,850843
844,860024
845,943182
846,909094
847,934359
848,909224
849,913154
850,947515
851,948536
852,935708
853,936588
854,932976
855,866993
856,917089
857,930856
858,927077
859,912172
860,893945
861,952583
862,872726
863,951812
864,913375
865,891604
866,930017
867,952221
868,828403
869,811800
870,839426
871,821926
872,825245
873,833040
874,815531
875,798472
876,834602
877,813944
878,806867
879,791075
880,823526
881,805899
882,815623
883,820991
884,818375
885,821099
886,809159
887,789959
888,818273
889,825447
890,821285
891,803205
892,824837
893,799245
894,830810
895,824606
896,846365
897,836768
898,812252
899,834656
900,825748
901,821486
902,825273
903,830174
904,824434
905,820841
906,841694
907,824861
908,818909
909,837058
910,812016
911,816238
912,865243
913,952594
914,890323
915,953116
916,936092
917,966347
918,942826
919,921339
920,908462
921,932086
922,903105
923,948781
924,956690
925,931167
926,904309
927,934001
928,908699
929,907508
930,936076
931,943395
932,910225
933,917868
934,953472
935,968088
936,841266
937,812385
938,846816
939,802409
940,847288
941,825868
942,834940
943,827294
944,850281
945,821588
946,812495
947,847442
948,829843
949,816266
950,826560
951,839521
952,812157
953,843839
954,853595
955,820703
956,812443
957,849847
958,837221
959,833511
960,794335
961,827503
962,825397
963,843992
964,818376
965,837666
966,822585
967,825447
968,807005
969,827272
970,822004
971,846934
972,826668
973,836788
974,837532
975,809344
976,810965
977,839315
978,808872
979,830270
980,904645
981,962930
982,927963
983,941078
984,921749
985,929200
986,910279
987,947188
988,915325
989,948364
990,928026
991,918810
992,901702
993,928751
994,912645
995,955529
996,916823
997,944116
998,928538
999,927041
